source,target,value
MasterYi,TahmKench,0.15094359366089227
MissFortune,Warwick,0.5072437228916293
Jhin,Zyra,0.35551532718397333
MissFortune,Urgot,0.34400489716477184
Ashe,Fizz,0.13812516023041788
Jinx,Soraka,0.18024287007340514
MasterYi,Zyra,0.16533163118489413
Lux,Trundle,0.33249446714557035
Malzahar,MissFortune,0.29089995866709223
Garen,Velkoz,0.15512920457696552
Hecarim,Nami,0.14597318069805526
MissFortune,Teemo,0.8881343162542968
Amumu,MissFortune,0.8420925961774909
MasterYi,Teemo,0.3861226070077591
MasterYi,Vex,0.3392960848841894
Jinx,Vi,0.10045466198575846
Chogath,MasterYi,0.10725627972437751
MissFortune,Nocturne,0.43085632367329213
Brand,MasterYi,0.24773584609508661
MasterYi,Xerath,0.20980374716817263
Annie,Garen,0.113796296780742
Evelynn,Garen,0.1532979998011835
Nami,Vladimir,0.1365555561368904
Morgana,Urgot,0.17527245711056813
Fizz,Garen,0.12269071997739771
FiddleSticks,Garen,0.13446275067885377
Sett,Ziggs,0.14701958342707358
Jhin,Xerath,0.48108365466617137
Brand,Nocturne,0.16925564141871283
Urgot,Vex,0.16166922163333
Kayn,Sona,0.1355091534078721
Caitlyn,Yorick,0.13734035818365414
Maokai,MissFortune,0.16768603732518536
Khazix,Velkoz,0.17501085642831357
MissFortune,Yorick,0.222622180598647
MasterYi,Veigar,0.2048333342053356
DrMundo,MissFortune,0.3246464466779329
Garen,MasterYi,0.2759887197785812
MasterYi,Pantheon,0.13080034112728967
Soraka,Vayne,0.2767735218253449
Sivir,Teemo,0.15486760389471096
Kayle,Leona,0.1441419759222732
Lillia,MissFortune,0.41699148751379944
JarvanIV,Vayne,0.1948925082796616
Malzahar,Vayne,0.15853001344627507
Yasuo,Zac,0.25924627611428813
Jhin,Swain,0.2846215422929823
Nocturne,Vex,0.21974457309384662
Janna,Vayne,0.14204917046423657
Ashe,DrMundo,0.1355091534078721
Ashe,Seraphine,0.18233567553144178
Garen,Xerath,0.2074493410278814
Blitzcrank,Khazix,0.19567731032642532
Jinx,Nocturne,0.17030204414773112
MasterYi,Ziggs,0.146757982744819
Garen,Malzahar,0.11850510906132443
Jhin,Vi,0.20195572670053522
MissFortune,Sona,0.2527062590579236
DrMundo,MasterYi,0.13106194180954425
Lux,Urgot,0.331448064416552
DrMundo,Tristana,0.1266147302112164
DrMundo,Morgana,0.16637803391391245
Shyvana,Vayne,0.13498595204336292
Khazix,Swain,0.12426032407092517
Garen,Zyra,0.14989719093187395
Morgana,Nasus,0.275465518414072
Jhin,Viktor,0.1428339725110003
Garen,Soraka,0.16585483254940328
Caitlyn,MonkeyKing,0.14571158001580067
Evelynn,Vayne,0.19201490077486122
Hecarim,Teemo,0.16271562436234835
Caitlyn,Nocturne,0.24381183586126795
Caitlyn,Kassadin,0.11955151179034275
Amumu,Samira,0.1886140919055517
Lux,Poppy,0.26787909862868925
Sejuani,Yasuo,0.11274989405172368
MasterYi,Urgot,0.14701958342707358
MasterYi,Swain,0.1365555561368904
Lux,Rammus,0.15748361071725675
Annie,Sett,0.11301149473397826
Garen,Sivir,0.10777948108888669
