id,group
MissFortune,8
Vex,8
Jinx,5
Lux,7
Khazix,6
Kayn,10
Yuumi,11
Ezreal,3
Graves,5
Lulu,5
LeeSin,4
Thresh,4
Ekko,9
Irelia,9
Kaisa,4
Lillia,2
Yone,2
Jhin,6
Leblanc,5
Lucian,5
Leona,4
Samira,4
Mordekaiser,2
Yasuo,2
Nautilus,2
Amumu,9
Vayne,10
Sylas,10
Xerath,1
Brand,6
Aphelios,4
Malphite,2
Caitlyn,1
Camille,3
Teemo,1
TahmKench,8
Blitzcrank,10
Ashe,9
Sett,9
Shaco,6
MasterYi,1
Viego,11
Darius,7
Morgana,1
Zed,1
Nocturne,7
Nami,5
JarvanIV,3
Talon,3
Karma,3
Garen,1
Warwick,7
Soraka,3
Diana,2
Volibear,7
Poppy,8
Zyra,6
Fiora,3
Nasus,6
Urgot,8
XinZhao,7
Malzahar,8
