id,group
Soraka,13
Vayne,2
Nocturne,14
Tristana,14
Maokai,9
MissFortune,9
Jhin,20
Xerath,6
Malzahar,5
Viego,5
Malphite,8
MasterYi,8
Brand,15
Nasus,15
Amumu,7
Sivir,11
Kaisa,17
Shen,17
Leona,9
Ashe,18
Vi,18
Khazix,12
Swain,12
Graves,6
Nami,5
Urgot,11
Morgana,8
Garen,4
Nunu,1
Yasuo,1
Yuumi,11
Zyra,1
Lux,4
Trundle,4
Rammus,4
DrMundo,13
Sett,7
Blitzcrank,6
Kassadin,7
Sion,12
Sona,10
Yone,10
Ezreal,13
Teemo,3
Lillia,2
Pyke,2
Evelynn,19
Zed,19
Diana,14
Warwick,3
Yorick,16
Velkoz,2
Braum,2
FiddleSticks,1
Xayah,6
Nautilus,3
XinZhao,15
Jinx,3
Lucian,16
Shyvana,1
Ekko,5
Leblanc,3
Riven,7
Zilean,20
KogMaw,21
Lulu,21
Rell,1
Chogath,8
Zac,16
Vex,4
Nidalee,10
JarvanIV,5
Irelia,1
Ornn,9
Ziggs,10
