champion,popularity
Shaco,0.03723119321072296
Leona,0.046410125968176105
Neeko,0.014872599984502445
Morgana,0.0630598913149676
Karthus,0.012062825743461547
MonkeyKing,0.021494436040576645
Katarina,0.031170301292698294
Velkoz,0.01903504132120032
Zed,0.04763813881093319
Jinx,0.05096337523288447
Renekton,0.012019028303253475
Brand,0.04402148095990513
Gnar,0.013267255349183514
DrMundo,0.023490588603906057
Volibear,0.044919328484170594
Diana,0.028621627175974745
Senna,0.04770215045431422
Yone,0.07258583456022316
Samira,0.03740975200541741
Rengar,0.019916043676154987
Yuumi,0.05805856054659205
Illaoi,0.01654027174627132
Rakan,0.01861896563922364
Mordekaiser,0.04591487799043868
Lissandra,0.011887635982629262
Yorick,0.02099750354590814
Ryze,0.017662160022370386
Janna,0.015384693131550666
Ornn,0.012399729129677482
Jax,0.038721990694728474
Taliyah,0.010371570744657554
Nocturne,0.0319569706995125
XinZhao,0.03018991243880992
Jhin,0.09309651271304928
Zyra,0.03165207313498708
Talon,0.0323713618645581
Kennen,0.019488176375660752
Riven,0.025934822670902666
Xayah,0.024112175351474457
Warwick,0.044100653255665874
Zilean,0.015448704774931692
Shyvana,0.014373982972902861
FiddleSticks,0.02155339413316443
TwistedFate,0.025210480390538404
Kaisa,0.051371028330205744
Twitch,0.03811388008260871
Yasuo,0.09643017171965595
Kayn,0.07328490908662123
Tryndamere,0.03942948780578193
Singed,0.016181469639951353
Cassiopeia,0.012537859518026016
Kayle,0.03234272507672974
Poppy,0.02312336391293069
Malzahar,0.02465795883714427
Viego,0.047435996779203626
Evelynn,0.023399624689627755
Camille,0.03197044683496114
Thresh,0.04686831457342978
Malphite,0.034310240852230806
MissFortune,0.1277958769763595
Caitlyn,0.08070857520188936
Akali,0.02912866677222973
Soraka,0.038393509893167935
Lucian,0.07258583456022316
Udyr,0.013770925911576337
Irelia,0.04866400962196071
Ahri,0.029312279117717412
Graves,0.07639789637525647
Fiora,0.03136738977363462
Fizz,0.025832067138106804
Nunu,0.02430589479854862
Seraphine,0.03205130364765296
Blitzcrank,0.03910437603808356
Kassadin,0.015327419555893956
KogMaw,0.013305999238598347
Nasus,0.044019796442974046
Vex,0.06654515684537145
Nami,0.05579456979122097
Shen,0.02621613699839297
Braum,0.012633876983097557
Teemo,0.07100575767887043
Qiyana,0.031109658683179425
Sivir,0.023766849380603125
Sona,0.027386876265493344
Sylas,0.03693471823085294
LeeSin,0.04732313414482129
Vi,0.022943120601305163
Galio,0.020817260234282615
Gwen,0.018135509280003775
Viktor,0.015532930621485676
Aphelios,0.03237809993228242
Pyke,0.04044188248136082
Nidalee,0.0133430586110821
Urgot,0.027777684193503828
TahmKench,0.027011228989862576
Hecarim,0.02224067704104494
Veigar,0.03399355166918783
Garen,0.05050687114456187
Varus,0.015286991149548044
Nautilus,0.03509859477597609
Anivia,0.019296141445517667
Heimerdinger,0.01563400163735046
Rumble,0.0090003739627587
Alistar,0.01763520775147311
Sett,0.058668355675642894
Ezreal,0.07708517928313698
Tristana,0.048505665030439224
Orianna,0.01448010753956088
Lux,0.10790341653723962
Sion,0.028537401329420762
Gragas,0.010315981685931926
Vladimir,0.01918159429420425
Amumu,0.04959554748484777
JarvanIV,0.029239844889680986
Lillia,0.03795216645722506
Olaf,0.010892086476361173
Leblanc,0.03424286017498762
Lulu,0.033737505095663714
Gangplank,0.021325984347468678
Xerath,0.03910437603808356
MasterYi,0.053493519663366136
Aatrox,0.024910636376806225
Jayce,0.014527274013631112
Vayne,0.06849077390076848
Bard,0.014579494038494581
Khazix,0.044370175964638624
Swain,0.029564956657379363
Kindred,0.022340063539978642
Karma,0.025882602646039195
Zac,0.018224788677350997
Rell,0.011574315833448442
Ziggs,0.024578786541383527
Draven,0.032239969543933884
Pantheon,0.02751321503532432
Darius,0.040249847551217736
Ashe,0.06439065969052055
Ekko,0.05097853588526418
Trundle,0.02911350611985001
Chogath,0.02372473645732613
Maokai,0.013925901469235667
Syndra,0.016981615182214197
Akshan,0.038600705475690736
Elise,0.009923489240990362
Zoe,0.016203368360055388
Rammus,0.013422230906842844
Annie,0.02611338146559711
Sejuani,0.010774170291185596
