source,target,value
Soraka,Vayne,0.28502837559274874
Nocturne,Tristana,0.18832231958806614
Maokai,MissFortune,0.11706522568987894
Jhin,Xerath,0.38979326959782157
Malzahar,Viego,0.1064614914788392
Malphite,MasterYi,0.3007219022250876
Brand,Nasus,0.2387960944326154
Amumu,Sivir,0.10094754968909851
Kaisa,Shen,0.10391659526818964
Leona,MissFortune,0.9110728434125361
Ashe,Vi,0.10052340032065692
Khazix,Swain,0.1806876309561175
Graves,Nami,0.2969045579091133
MasterYi,Urgot,0.13996929158572483
MasterYi,Morgana,0.5127965864458828
MasterYi,Swain,0.19553285885157318
Ashe,Garen,0.20995393737858725
Nunu,Yasuo,0.2608518615915781
Ashe,Brand,0.25873111474937016
Urgot,Yuumi,0.1454832333754655
Khazix,Zyra,0.19213966390404044
MissFortune,Nasus,0.600595505713292
Amumu,MissFortune,0.9331286105714989
Lux,Trundle,0.37452389233392436
Garen,Lux,0.48183368254964665
Lux,Rammus,0.15778356506027164
Graves,Xerath,0.185353274008975
DrMundo,MasterYi,0.1497247270598814
Amumu,Sett,0.2973287072775549
Blitzcrank,Khazix,0.24939982864365515
Brand,Sett,0.27357634264482583
Kassadin,Sett,0.10900638768948873
Khazix,Sion,0.14336248653325753
Sona,Yone,0.15099717516520617
Ezreal,Sona,0.13403120042754257
Teemo,Viego,0.3825827303343145
Lillia,Pyke,0.1497247270598814
MissFortune,Sona,0.2434617374854729
Teemo,Vi,0.11876182316364532
Evelynn,Zed,0.18238422842988386
Yasuo,Zyra,0.39191401644002954
Amumu,Garen,0.19298796264092363
Diana,Tristana,0.23625119822196583
Teemo,Warwick,0.2863008236980735
Khazix,Sona,0.10179584842598169
Sona,Vayne,0.13827269411195847
Lux,Yorick,0.18280837779832546
Jhin,Vi,0.18408082590365024
Brand,Warwick,0.2209818209580686
Jhin,Velkoz,0.18280837779832546
Braum,Vayne,0.1191859725320869
FiddleSticks,Yasuo,0.23243385390599153
Malzahar,MissFortune,0.23964439316949857
Graves,Xayah,0.14378663590169913
Nautilus,Teemo,0.2519447248543047
Ezreal,Soraka,0.26594165401287717
Vayne,Velkoz,0.12427576495338598
Jhin,Zyra,0.34525758591145456
Brand,XinZhao,0.17602198790326
Lillia,Vayne,0.2167403272736527
Jinx,Teemo,0.3007219022250876
Lucian,Yorick,0.11155128390013826
Amumu,Tristana,0.29011816801404783
Sivir,Yuumi,0.12469991432182757
Shyvana,Yasuo,0.1590560131655964
Ekko,Nami,0.22691991211625087
Jinx,Leblanc,0.1624492081131291
DrMundo,Ezreal,0.17474953979793523
Brand,DrMundo,0.11367203074234622
Khazix,Teemo,0.38724837338717205
Amumu,Riven,0.1276689599009187
Jhin,Malzahar,0.17474953979793523
Jhin,Zilean,0.1323346029537762
Jhin,Sion,0.23413045137975788
Blitzcrank,Graves,0.22055767158962702
KogMaw,Lulu,0.23582704885352426
Nocturne,Teemo,0.20062265127287227
Rell,Yasuo,0.11876182316364532
MissFortune,Rell,0.14209003842793277
Malzahar,Nami,0.10052340032065692
Blitzcrank,Teemo,0.25830696538092857
Chogath,MasterYi,0.12936555737468508
Lucian,Zac,0.15142132453364776
Trundle,Vex,0.1802634815876759
Nidalee,Yone,0.10434074463663123
JarvanIV,Nami,0.14378663590169913
Brand,Graves,0.28290762875054076
Jhin,Lillia,0.3092048895939194
DrMundo,Khazix,0.13869684348040007
Jhin,Rammus,0.1319104535853346
Ashe,DrMundo,0.1323346029537762
Irelia,Nunu,0.1285172586378019
Braum,Teemo,0.10815808895260554
MissFortune,Ornn,0.15184547390208936
Yone,Ziggs,0.14039344095416642
Malzahar,Yuumi,0.11324788137390464
