source,target,value
Lux,Urgot,0.27834626106436916
Akshan,Ziggs,0.20339068698046942
Garen,Veigar,0.14191027228243935
Irelia,Ziggs,0.25518583086990576
Illaoi,Leona,0.14148917355163093
Ashe,Maokai,0.17812476313196393
Amumu,Ziggs,0.18191465170923976
Amumu,Malzahar,0.17307157836226283
FiddleSticks,MissFortune,0.3090864684133842
Malzahar,MissFortune,0.499001996007984
Kled,LeeSin,0.10274809031725579
MissFortune,Warwick,0.42278312573165905
Ahri,MasterYi,0.17012388724660382
Lillia,Yasuo,0.40888686761498105
Lux,Nocturne,0.23665748671433504
Alistar,MissFortune,0.36467150088009637
Lux,Nunu,0.14191027228243935
Mordekaiser,Yasuo,0.3916218196518355
Yasuo,Ziggs,0.3208772328760201
Ashe,Xerath,0.3044543823744915
Soraka,Vayne,0.30487548110529994
Sona,Yone,0.12211863193444335
Ashe,Malzahar,0.22949880829059183
DrMundo,MasterYi,0.109906768740999
MasterYi,Sivir,0.14359466720567304
Senna,TahmKench,0.1427524697440562
Ahri,Leona,0.20381178571127787
Senna,Sion,0.1448579633980983
Kayle,MasterYi,0.11622324970312539
MasterYi,MissFortune,0.7423970624152539
Jinx,Singed,0.10359028777887262
Blitzcrank,Vayne,0.29476911156589775
Lux,Renekton,0.10611688016372317
Jinx,Mordekaiser,0.24381616513807824
Lillia,Yone,0.2859260382189208
Leona,Viego,0.3124552582598516
Ashe,Sett,0.5322687957418496
Amumu,MissFortune,0.9790545491295889
Leona,MissFortune,1.254453119078299
Amumu,Irelia,0.296032407758323
Ashe,Brand,0.23497309179110132
MissFortune,Urgot,0.5230046236640643
Lux,Warwick,0.22823551209816656
Lux,Sivir,0.21560255017391378
Yasuo,Zac,0.3082442709517674
Yone,Ziggs,0.2745563724870933
Leona,Vladimir,0.14570016085971518
Ashe,Vi,0.18738893520974928
Leona,Vi,0.1659128999385196
Ashe,Trundle,0.18402014536328187
Jinx,Maokai,0.13180390274303713
Brand,MissFortune,0.3903585234594103
Blitzcrank,Yasuo,0.3351945897235066
FiddleSticks,Yone,0.15664872786073425
Ashe,MasterYi,0.43204729780944434
Amumu,Katarina,0.17180828216983754
Graves,Swain,0.23370979559867605
MasterYi,Ziggs,0.21139156286582952
MissFortune,Yorick,0.43204729780944434
Garen,Lux,0.37856775899677436
Leona,Mordekaiser,0.31161306079823475
Kayle,Yone,0.1280140141657613
MissFortune,Sejuani,0.17854586186277235
Lillia,Zed,0.2463427575229288
Garen,Zyra,0.15580653039911738
FiddleSticks,Garen,0.12127643447282649
Malphite,MasterYi,0.2657132991401164
MissFortune,Shyvana,0.2602390156396069
Zed,Ziggs,0.219813537481998
Morgana,Vladimir,0.10653797889453162
Jhin,Pantheon,0.22739331463654966
Amumu,Kayle,0.10864347254857373
Jhin,Khazix,0.2753985699487102
Brand,JarvanIV,0.14401576593648147
Anivia,Jhin,0.18317794790166503
Lucian,Ornn,0.10316918904806421
Lux,Yorick,0.2311832032138255
Ekko,Illaoi,0.10695907762534003
Amumu,Urgot,0.18233575044004818
Sivir,Teemo,0.1427524697440562
Blitzcrank,MasterYi,0.23413089432948447
Leona,Lillia,0.31456075191389377
Lillia,Tristana,0.20802277301936212
Akshan,Lillia,0.1928632187102588
Irelia,Swain,0.1309617052814203
Garen,Senna,0.22444562352089073
Kindred,Xerath,0.11159116366423272
Hecarim,Kaisa,0.11243336112584956
Brand,Garen,0.14696345705214045
Malzahar,MasterYi,0.17728256567034706
Mordekaiser,Yone,0.2918214204502388
Ekko,Zed,0.23202540067544236
Akshan,Mordekaiser,0.18696783647894086
Lux,MonkeyKing,0.1330671989354624
Leona,XinZhao,0.28676823568053766
Sett,Shyvana,0.13854148243597195
MasterYi,Zyra,0.1646496037460943
MasterYi,Sona,0.10780127508695689
Ekko,Gangplank,0.11369665731827483
Mordekaiser,Vi,0.1229608293960602
Lillia,MissFortune,0.6628094022924614
Ornn,Yasuo,0.11664434843393383
Kaisa,Vi,0.14317356847486462
Graves,Zilean,0.12506632305010232
Lucian,MonkeyKing,0.13054060655061187
Vi,Yasuo,0.19496871236430094
Garen,Ziggs,0.20718057555774524
FiddleSticks,Sett,0.15917532024558478
Leona,Yorick,0.1962320085567262
Ahri,Amumu,0.15243774055264997
DrMundo,MissFortune,0.29476911156589775
Lux,Vi,0.18907333013298297
Brand,MasterYi,0.1545432342066921
FiddleSticks,Vayne,0.15749092532235107
Jhin,Kassadin,0.10822237381776531
Nunu,Yone,0.11706544716474224
Malzahar,Viego,0.18907333013298297
