source,target,value
MissFortune,Viego,0.8532390689165626
MissFortune,Vex,0.8408525721037036
Jinx,Lux,0.5073699656036512
Ezreal,Yuumi,1.5702266728916752
Graves,Lulu,0.6336169523500996
LeeSin,Vex,0.6912618029022515
LeeSin,Thresh,0.826084056672987
Ekko,Irelia,0.5211856735872248
Irelia,Kaisa,0.5835945613750917
Irelia,Jhin,0.6112259773422388
Graves,Thresh,0.8222728268844148
Ekko,Lucian,0.7231808523815422
Lucian,Yuumi,1.0114051051423019
Leona,Samira,0.6741112688536773
Graves,Leona,0.7103179518451117
Graves,Lucian,1.3386944632359246
Graves,TwistedFate,0.5087991767743657
Ezreal,MasterYi,0.7679628023972636
MasterYi,Yasuo,0.5188036549693673
Amumu,MissFortune,1.3467933265366403
LeeSin,Leona,0.6717292502358199
Lulu,Vayne,0.7479538460072604
LeeSin,Lulu,0.6026507103179518
Kaisa,Thresh,0.5654912198793746
Sylas,Thresh,0.5988394805293797
Thresh,Vayne,0.7026954922679676
Ezreal,LeeSin,1.723152268158128
Lux,MissFortune,1.192438520099473
Graves,Vex,0.7046011071622535
Jhin,Xerath,1.1014454088973158
Aphelios,Thresh,0.6741112688536773
Malphite,Yasuo,0.8622907396644212
Ekko,Ezreal,0.9170771678751442
LeeSin,Xerath,0.8027402742179832
Leblanc,MissFortune,0.9404209503301477
Kayn,Vayne,0.5745428906272332
Ezreal,Xerath,1.0623803035644526
LeeSin,Sylas,1.0647623221823102
Katarina,MissFortune,0.5149924251807952
Lucian,Lulu,0.8699131992415652
Malphite,MissFortune,0.8327537088029879
Ezreal,Nidalee,0.6969786475851095
Blitzcrank,Vayne,0.6941202252436806
Blitzcrank,Irelia,0.5388126113593704
Graves,Leblanc,0.8360885348679885
Leblanc,LeeSin,0.9127895343630005
LeeSin,Samira,0.7732032433565501
Fiora,MissFortune,0.5654912198793746
Graves,Jinx,0.7088887406743971
Kaisa,Nautilus,0.5316665555057979
Blitzcrank,Yasuo,0.6707764427886769
Caitlyn,Lux,0.7103179518451117
Irelia,Samira,0.5154688289043666
Kaisa,Sett,0.5364305927415128
Blitzcrank,LeeSin,0.7870189513401236
Blitzcrank,Kaisa,0.6731584614065343
Graves,Xerath,0.8527626651929912
Ekko,Yone,0.5311901517822263
Lux,Viego,0.5554867416843731
Samira,Yone,0.5283317294407973
Graves,Jhin,0.9728164035330101
Darius,MissFortune,0.6893561880079655
Vayne,Yuumi,0.7312797156822578
Blitzcrank,Samira,0.5078463693272227
Blitzcrank,Yone,0.5578687603022305
Samira,Sylas,0.5778777166922336
Jinx,Thresh,0.7970234295351252
Ezreal,Lux,1.4549369717873715
Graves,Nami,0.5316665555057979
Lucian,Nami,2.306270425809648
Amumu,Samira,0.5826417539279487
JarvanIV,MissFortune,0.556439549131516
Caitlyn,Morgana,0.6579135422522462
Ezreal,Karma,0.6231360704315265
Ezreal,Shaco,0.6131315922365249
Yone,Yuumi,0.5912170209522357
Kayn,Yasuo,0.5669204310500892
Amumu,Vayne,0.5978866730822369
Ezreal,Kennen,0.5002239097500787
Kayn,MissFortune,0.7536706906901184
Leona,MissFortune,0.8694367955179938
Kaisa,Leona,0.5683496422208035
Jhin,Lux,0.7708212247386926
Sylas,Viego,0.5554867416843731
Teemo,Yone,0.5311901517822263
Diana,Yasuo,0.5850237725458062
Kayn,Sylas,0.5245204996522252
Lux,MasterYi,0.5497698970015149
Ezreal,Viego,0.9061198822329996
Leona,Sylas,0.5245204996522252
Graves,Sylas,1.0700027631415967
Darius,Lux,0.5073699656036512
MissFortune,Poppy,0.5326193629529409
Lucian,Teemo,0.7098415481215401
Ezreal,Vex,0.8189380008194145
Kaisa,Sylas,0.6502910826751022
Blitzcrank,Sylas,0.5878821948872353
Irelia,Yuumi,0.5654912198793746
