source,target,value
Lux,Nocturne,0.3527378453680838
Rammus,Teemo,0.10898824544085493
Amumu,MissFortune,0.8623042170196852
Teemo,Vi,0.17299988882188255
MissFortune,Zyra,0.4620629941951547
Brand,Jhin,0.4578517018674555
Lux,Trundle,0.3242695092328373
MasterYi,Ziggs,0.15160652379717068
Yone,Ziggs,0.1970884809363219
Ekko,Sion,0.14857439332122727
Nunu,Vayne,0.17552666421850205
Lux,Yorick,0.23785379066845
Ashe,Nasus,0.310288018704876
Lux,Nasus,0.5380347077868479
Jhin,Swain,0.32191118552932574
Morgana,Yorick,0.14857439332122727
Malzahar,MasterYi,0.1463845213108237
MissFortune,Warwick,0.5855380852432948
DrMundo,MissFortune,0.3023707891288015
MasterYi,Yorick,0.11673702332382144
Vayne,Zac,0.13307683755529426
Soraka,Vayne,0.3092773085462282
MasterYi,Shen,0.14133097051758467
Lux,MasterYi,0.6357366897894691
Blitzcrank,Garen,0.19776228770875376
DrMundo,Lux,0.26716438526923636
Fizz,Yuumi,0.15548091273865394
Ashe,Shaco,0.2452656651652006
Alistar,Ekko,0.10545075988558761
MissFortune,Sona,0.36318185034077777
Ashe,Soraka,0.2597525107724858
Garen,Malzahar,0.12532805967232777
Amumu,Kayle,0.17872724638755344
Ashe,MasterYi,0.3965352855761553
MasterYi,Zyra,0.18175937686349686
Ashe,Zyra,0.22555681707156836
Jhin,Rammus,0.13172922401043052
Graves,Viktor,0.12330663935503215
MasterYi,Sivir,0.13442445110015802
Ashe,Zilean,0.10460850142004778
Yasuo,Zac,0.24796089225492804
Garen,Ziggs,0.13021315877245881
Annie,Garen,0.13509825787258986
DrMundo,Jhin,0.22353539675427275
Graves,Maokai,0.10865134205463899
Maokai,MissFortune,0.19523551231213426
Ashe,Warwick,0.30792969500136447
Garen,Zyra,0.17131537189080287
Annie,Tristana,0.13442445110015802
Amumu,Urgot,0.14520535945906793
Warwick,Zyra,0.16221898046297265
Ashe,Vi,0.15211187887649458
Malphite,MasterYi,0.2031527418882087
Ekko,MonkeyKing,0.11202037591679834
Ashe,Sona,0.18327544210146857
Ashe,Trundle,0.20567951728482822
Vayne,Zilean,0.11555786147206565
Sivir,Warwick,0.1226328325826003
Teemo,Udyr,0.1019132743303203
