id,group
Lux,3
Urgot,12
Akshan,2
Ziggs,0
Garen,1
Veigar,1
Irelia,10
Illaoi,9
Leona,5
Ashe,8
Maokai,2
Amumu,12
Malzahar,18
FiddleSticks,15
MissFortune,13
Kled,17
LeeSin,17
Warwick,3
Ahri,5
MasterYi,14
Lillia,21
Yasuo,4
Nocturne,3
Alistar,13
Nunu,7
Mordekaiser,2
Xerath,8
Soraka,11
Vayne,11
Sona,7
Yone,7
DrMundo,14
Sivir,20
Senna,1
TahmKench,1
Sion,1
Kayle,7
Jinx,2
Singed,2
Blitzcrank,11
Renekton,3
Viego,18
Sett,15
Brand,19
Zac,4
Vladimir,5
Vi,16
Trundle,8
Katarina,12
Graves,10
Swain,10
Yorick,3
Sejuani,13
Zed,9
Zyra,1
Malphite,14
Shyvana,15
Morgana,5
Jhin,6
Pantheon,6
Khazix,6
JarvanIV,19
Anivia,6
Lucian,4
Ornn,4
Ekko,9
Teemo,20
Tristana,21
Kindred,8
Hecarim,16
Kaisa,16
MonkeyKing,4
XinZhao,5
Gangplank,9
Zilean,10
Kassadin,6
