source,target,conf,win_rate
Tryndamere,Kaisa,7.771388743683569,0.437219730941704
Kaisa,Tryndamere,2.92516560634879,0.437219730941704
Diana,Kaisa,7.664820439521172,0.47785547785547783
Kaisa,Diana,2.813668262609038,0.47785547785547783
Alistar,Kaisa,8.45225027442371,0.5367965367965368
Kaisa,Alistar,3.030104282809733,0.5367965367965368
Khazix,Sylas,10.293564170116673,0.5118829981718465
Sylas,Khazix,2.987764911514092,0.5118829981718465
Viego,MissFortune,13.89664804469274,0.49748743718592964
MissFortune,Viego,6.288844411671758,0.49748743718592964
Vex,MissFortune,15.043040995482826,0.5195467422096317
MissFortune,Vex,6.197549071245479,0.5195467422096317
Jinx,Lux,9.475932022421924,0.5164319248826291
Lux,Jinx,5.80539656582175,0.5164319248826291
Khazix,Lux,9.20210764019571,0.5132924335378323
Lux,Khazix,2.6655764513491413,0.5132924335378323
Akali,Kayn,6.303898943277056,0.47398843930635837
Kayn,Akali,4.507164567954842,0.47398843930635837
Kayn,Yuumi,7.998263135041251,0.49077090119435396
Yuumi,Kayn,6.277690682298412,0.49077090119435396
Akali,Yuumi,8.10154257257379,0.4407796101949025
Yuumi,Akali,4.546384022902324,0.4407796101949025
Ezreal,Yuumi,10.785340314136125,0.47936893203883496
Yuumi,Ezreal,22.466089564446868,0.47936893203883496
Lulu,Graves,12.426422498364945,0.49624060150375937
Graves,Lulu,5.291005291005291,0.49624060150375937
Lulu,Aphelios,6.848547136316921,0.41609822646657574
Aphelios,Lulu,9.230575494270244,0.41609822646657574
Aphelios,Graves,12.3662007303866,0.4653767820773931
Graves,Aphelios,3.9065918765166887,0.4653767820773931
Tristana,Ekko,6.127167630057803,0.4591194968553459
Ekko,Tristana,2.4954877187475475,0.4591194968553459
Akali,LeeSin,12.194825701445403,0.4551792828685259
LeeSin,Akali,4.113911083794305,0.4551792828685259
LeeSin,Vex,5.945502970702725,0.5058580289455548
Vex,LeeSin,12.366828603085315,0.5058580289455548
LeeSin,Thresh,7.105101413644745,0.47520184544405997
Thresh,LeeSin,12.23712067748765,0.47520184544405997
Vex,Jhin,8.079774993607773,0.5432489451476793
Jhin,Vex,5.980695224276071,0.5432489451476793
Nocturne,Caitlyn,6.539173349784084,0.5094339622641509
Caitlyn,Nocturne,2.91128810766273,0.5094339622641509
Irelia,Ekko,6.514231273073717,0.45886654478976235
Ekko,Irelia,8.585105548144078,0.45886654478976235
Irelia,Kaisa,7.294271763725139,0.5118367346938776
Kaisa,Irelia,8.03436741654096,0.5118367346938776
Ekko,Kaisa,7.7925135368437575,0.5297079556898288
Kaisa,Ekko,6.512756607857284,0.5297079556898288
Morgana,Talon,5.508005236129292,0.4954296160877514
Talon,Morgana,4.762734000870701,0.4954296160877514
Nunu,Lucian,11.370576612178912,0.4881516587677725
Lucian,Nunu,2.7310380533264302,0.4881516587677725
Karma,Zed,7.011887970985291,0.5229885057471264
Zed,Karma,2.3689584751531654,0.5229885057471264
Darius,Vex,5.618419757945489,0.5183887915936952
Vex,Darius,4.866615528850252,0.5183887915936952
Irelia,Jhin,7.639633202334167,0.5151987529228371
Jhin,Irelia,8.094126553529746,0.5151987529228371
Lillia,Yone,9.623865110246435,0.5256064690026954
Yone,Lillia,4.307942405945193,0.5256064690026954
Brand,MissFortune,13.824289405684754,0.491588785046729
MissFortune,Brand,1.878577197233049,0.491588785046729
Ekko,Jhin,7.9102252216903395,0.5337301587301587
Jhin,Ekko,6.359220238470758,0.5337301587301587
Ekko,Thresh,7.227497449580161,0.499457111834962
Thresh,Ekko,6.499647141848977,0.499457111834962
Fiora,LeeSin,12.015682656826568,0.4904030710172745
LeeSin,Fiora,4.269616881786519,0.4904030710172745
Fiora,Thresh,7.011070110701106,0.45723684210526316
Thresh,Fiora,4.29075511644319,0.45723684210526316
Graves,Thresh,6.866372279906114,0.5092699884125145
Thresh,Graves,12.180663373323924,0.5092699884125145
Kayn,Leblanc,6.765089014329136,0.4595635430038511
Leblanc,Kayn,5.600287562904385,0.4595635430038511
Senna,Leblanc,6.817067189798921,0.4892086330935252
Leblanc,Senna,2.9978432782171103,0.4892086330935252
Senna,Ezreal,15.236226908615336,0.44849785407725323
