source,target,value
Diana,Ashe,5.734767025089606
Ashe,Diana,4.146705411136417
Warwick,Yasuo,13.464646464646465
Yasuo,Warwick,4.2281219272369714
Xayah,Rakan,20.92150170648464
Rakan,Xayah,24.969450101832994
Zed,Morgana,7.318812750315466
Morgana,Zed,7.935752528256989
Graves,Jhin,9.850610449685297
Jhin,Graves,5.633863902502494
Lux,Jhin,10.218008116941421
Jhin,Lux,12.338985991239102
Soraka,Jhin,10.457516339869281
Jhin,Soraka,3.4002688988159777
Warwick,Tristana,6.4646464646464645
Tristana,Warwick,4.818551422978467
Kayn,Vex,6.422836752899197
Vex,Kayn,8.792998168125383
Kayn,Vayne,7.552780255724056
Vayne,Kayn,8.784874337099376
Soraka,Kayn,9.003601440576231
Kayn,Soraka,3.3452274754683318
Soraka,Vayne,8.96358543417367
Vayne,Soraka,3.873645376988702
Nocturne,Tristana,5.9878624409979775
Tristana,Nocturne,3.3428700496913115
Nocturne,Lux,12.380310182063385
Lux,Nocturne,3.2970585066264415
Maokai,MissFortune,15.164835164835164
MissFortune,Maokai,0.885694114626789
Kayn,MissFortune,13.484983645554566
MissFortune,Kayn,8.731788717027149
Aatrox,Vex,6.5393988627132416
Vex,Aatrox,2.1846801004138676
Xerath,Jhin,11.841257569900785
Jhin,Xerath,3.9857743852192393
Braum,Lucian,20.952124798278646
Lucian,Braum,4.156218321506696
Malzahar,Viego,5.977613717551798
Viego,Malzahar,1.8354661791590492
Nunu,Ezreal,7.6781185151026055
Ezreal,Nunu,1.8893617021276596
Zyra,Ezreal,8.397501089641144
Ezreal,Zyra,3.279432624113475
Lillia,Yasuo,13.427663875252671
Yasuo,Lillia,2.949852507374631
Lillia,Thresh,5.544325729136586
Thresh,Lillia,3.0970239535446407
Mordekaiser,MasterYi,6.715575620767495
MasterYi,Mordekaiser,4.865085854456256
Varus,MasterYi,6.858227161832476
MasterYi,Varus,1.7239029708367402
Malphite,MasterYi,7.035126017066879
MasterYi,Malphite,4.831016625783592
Shen,Tristana,5.690890481064483
Tristana,Shen,2.093058274356272
Qiyana,Yuumi,6.562625050020008
Yuumi,Qiyana,3.314693795054908
Blitzcrank,MissFortune,13.456464379947231
MissFortune,Blitzcrank,3.9278608561709776
Nasus,Brand,5.401515878345966
Brand,Nasus,5.086276989791309
Sivir,Amumu,5.33273582791844
Amumu,Sivir,2.004041764904008
Sivir,Brand,5.8480842482635
Brand,Sivir,2.3579365796368235
Alistar,Yasuo,17.313432835820898
Yasuo,Alistar,2.0236622577473278
Garen,Morgana,7.398648648648648
Morgana,Garen,3.9083878643664485
Shen,Kaisa,5.015353121801433
Kaisa,Shen,2.1120689655172415
Karthus,Yasuo,13.872255489021956
Yasuo,Karthus,0.8817838677958575
Nautilus,Yasuo,13.6305435921313
Yasuo,Nautilus,3.71427665175881
MissFortune,Leona,6.893010718182402
Leona,MissFortune,18.678260869565218
Shen,Khazix,6.919140225179119
Khazix,Shen,2.336997856599599
Vladimir,Khazix,6.96181698485846
Khazix,Vladimir,2.9247044181705038
Nasus,Ashe,5.43029837858582
Ashe,Nasus,4.445142542998508
Akali,Khazix,6.167763157894736
Khazix,Akali,4.148516905206389
Warwick,Lux,12.848484848484848
Lux,Warwick,4.5684732248680096
Lux,Caitlyn,9.104622346729878
Caitlyn,Lux,13.338595106550907
Swain,Caitlyn,8.574722582504684
Caitlyn,Swain,3.1307550644567224
Viktor,Jhin,10.540184453227932
Jhin,Viktor,1.040898642494687
Warwick,Katarina,6.02020202020202
Katarina,Warwick,4.294566940481338
Warwick,Morgana,8.121212121212121
Morgana,Warwick,4.78286734086853
Draven,Khazix,6.356817902373048
Khazix,Draven,3.5746387333195053
Samira,Nautilus,6.498846655300371
Nautilus,Samira,7.542777325107671
Trundle,Lucian,8.186005051255385
Lucian,Trundle,2.9397641786266875
Kennen,Thresh,6.148785425101214
Thresh,Kennen,1.9598354706024679
Ekko,Jhin,9.948931341025157
Jhin,Ekko,4.562605716268378
Ekko,Thresh,5.702666918857576
Thresh,Ekko,4.863295427050569
Sylas,Thresh,5.402560954218559
Thresh,Sylas,4.9681425921445275
Sett,MissFortune,13.42707270872796
MissFortune,Sett,5.914254540786856
Volibear,MissFortune,13.374028856825749
MissFortune,Volibear,3.866889159874206
Seraphine,Irelia,7.318687136050821
Irelia,Seraphine,3.403286356083451
Seraphine,MissFortune,15.722604552673372
MissFortune,Seraphine,3.812335536871831
Zyra,Yone,9.196571262530872
Yone,Zyra,2.923382441232162
Mordekaiser,MissFortune,13.760346124905945
MissFortune,Mordekaiser,4.694820614851421
Jax,Lux,11.849111091056763
Lux,Jax,4.715727471895988
Ekko,MissFortune,13.287308492528844
MissFortune,Ekko,4.508696489313908
MissFortune,Lux,12.460689301071818
Lux,MissFortune,13.94605466364975
Vi,Ashe,5.474705474705475
Ashe,Vi,1.86130526977146
Janna,Jhin,11.104060913705585
Jhin,Janna,1.5179771869714187
Malphite,Yasuo,21.571740424687437
Yasuo,Malphite,6.8956767215402675
Evelynn,Yone,11.498973305954825
Yone,Evelynn,2.844871380409181
Swain,Yasuo,13.762790027381467
Yasuo,Swain,3.029149617787928
TahmKench,Khazix,6.386529126213593
Khazix,TahmKench,2.9108760284864825
Chogath,Zed,7.982120051085569
Zed,Chogath,2.05738739233006
XinZhao,Caitlyn,8.168839230291743
Caitlyn,XinZhao,3.4622467771639043
Zyra,Tristana,6.26180444573587
Tristana,Zyra,3.2449932239120614
Zyra,Kayn,8.775243353189015
Kayn,Zyra,2.9933591039746257
Teemo,Ashe,5.529799099643888
Ashe,Teemo,6.463519987434226
Swain,Khazix,6.139213143104193
Khazix,Swain,2.945447002696536
DrMundo,Lux,13.679864890223307
Lux,DrMundo,2.618252343497468
Lillia,Yone,10.020213687554143
Yone,Lillia,3.205098600655798
Nasus,Pyke,5.1328792094406595
Pyke,Nasus,4.85921889191644
Pyke,Jhin,9.97275204359673
Jhin,Pyke,4.762111289413194
Nocturne,Ezreal,7.5927174645987865
Ezreal,Nocturne,3.194326241134752
Viego,Lux,12.36563071297989
Lux,Viego,6.073339798153935
Malzahar,Caitlyn,8.78780662062396
Caitlyn,Malzahar,1.941594317284925
Ahri,Kayn,9.092385127455756
Kayn,Ahri,2.775299831499653
Kayn,Lux,12.107245514917237
Lux,Kayn,8.774198182667098
Ashe,Lux,12.392994581009974
Lux,Ashe,5.667492727076824
Seraphine,Ashe,6.2731604023292755
Ashe,Seraphine,3.72261053954292
Fizz,MissFortune,13.323378131740501
MissFortune,Fizz,2.5768564277004042
Nocturne,Brand,5.084288604180714
Brand,Nocturne,3.4059083928087452
