source,target,value
Nasus,Sylas,0.11719531599858986
Blitzcrank,Camille,0.29346469372004613
Jinx,Khazix,0.12910540908787743
Ahri,Graves,0.22915019103789316
Aphelios,Morgana,0.15721322877859611
Ekko,Malphite,0.31442645755719223
Nunu,Zed,0.14720875058359456
Garen,Kayn,0.14530313568930855
Taliyah,Vayne,0.10528522290930226
Shaco,Ziggs,0.10671443408001677
Amumu,MissFortune,1.3467933265366403
Leona,Vex,0.29584671233790366
Graves,TahmKench,0.2239097500786066
Malphite,Morgana,0.25106476232218233
Sylas,Vex,0.1805570112335998
Vayne,Vex,0.5230912884815108
LeeSin,Zilean,0.11624250855144684
JarvanIV,Katarina,0.1505435766485951
Graves,Zac,0.1962783341114594
Camille,Leona,0.24534791763932426
Leona,Pantheon,0.11814812344573286
Leona,Lux,0.16007165112002514
Caitlyn,Camille,0.21247606071289052
Camille,Xerath,0.3182376873457643
Ahri,Blitzcrank,0.13053462025859194
Caitlyn,Nami,0.14292111707145103
Kayn,Ziggs,0.14339752079502252
Maokai,Yone,0.21962211656646308
Akshan,Teemo,0.24391870646860975
Jhin,Zac,0.22676817242003566
Camille,Zac,0.11290768248644631
Amumu,Yone,0.47354530123007443
Camille,Nami,0.18103341495717132
Graves,Soraka,0.21819290539574857
Soraka,Vayne,0.21676369422503408
Leona,Talon,0.3372938362886244
Malphite,Shaco,0.18675025964002936
Shaco,Yone,0.33586462511790993
Amumu,Malphite,0.3287185692643374
Varus,Yasuo,0.10671443408001677
Elise,Vayne,0.23105580593217917
Blitzcrank,Elise,0.14435032824216554
Blitzcrank,Katarina,0.2605928367936124
Alistar,Vayne,0.2420130915743237
Kaisa,Maokai,0.24153668785075222
Jayce,Leblanc,0.207235619753604
Shen,Yasuo,0.14673234686002307
Evelynn,Jhin,0.11576610482787533
Jinx,Nocturne,0.13434585004716396
Graves,Malzahar,0.1262469867464484
Graves,Lissandra,0.18103341495717132
Lux,Poppy,0.3153792650043353
Irelia,Zac,0.22200413518432058
Aatrox,Nautilus,0.1243413718521624
Evelynn,Samira,0.11052566386858881
Jhin,Shaco,0.3072804017036197
Shaco,Zed,0.207235619753604
MasterYi,Teemo,0.3363410288414814
Akshan,MasterYi,0.1405390984535935
Akshan,Jhin,0.24534791763932426
Elise,Xerath,0.1286290053643059
Elise,Jinx,0.12386496812859088
Amumu,Kindred,0.1648356883557402
Elise,Yone,0.20247158251788894
Vex,Yone,0.20675921603003247
Aatrox,Jhin,0.31442645755719223
Camille,Graves,0.41923527674292305
Blitzcrank,Lillia,0.2496355511514678
Khazix,Morgana,0.10909645269787428
Irelia,Warwick,0.17531657027431327
Sett,Trundle,0.12005373834001885
Blitzcrank,Trundle,0.11052566386858881
Lux,Senna,0.10528522290930226
Kaisa,Zac,0.20580640858288948
Graves,Maokai,0.3411050660771965
Amumu,Khazix,0.12958181281144893
Katarina,Poppy,0.16388288090859718
Poppy,Vayne,0.3325297990529094
Katarina,Xerath,0.17484016655074175
JarvanIV,Pyke,0.13625146494145
Alistar,MissFortune,0.3106152277686202
Ashe,Xerath,0.349203929377912
Lulu,Ryze,0.10147399312073024
Jinx,Malphite,0.2796489857364725
Alistar,Jhin,0.17341095538002727
Jayce,MissFortune,0.42066448791363753
JarvanIV,Nami,0.1248177755757339
Jhin,Karma,0.22772097986717862
Lulu,Trundle,0.10004478195001572
