id,group
Diana,7
Viego,10
Seraphine,7
Graves,0
Malphite,23
Lux,16
Soraka,0
Vex,30
Vayne,15
Nocturne,2
Tristana,26
Maokai,20
MissFortune,20
Jhin,11
Xerath,4
Khazix,0
Katarina,21
Malzahar,10
MasterYi,32
Sion,21
Brand,25
JarvanIV,1
Amumu,17
Nasus,28
Sivir,12
Garen,19
Kaisa,22
Shen,22
Leona,4
Lulu,2
Trundle,0
Veigar,2
Mordekaiser,1
Senna,27
Nautilus,29
Warwick,31
Aatrox,15
Sett,8
Volibear,4
Ashe,6
Vi,6
Fiora,1
Zyra,23
Teemo,18
XinZhao,24
Swain,24
Shaco,4
TahmKench,25
Nami,1
Urgot,14
Morgana,10
Cassiopeia,13
Varus,3
Yone,3
Nunu,5
Yasuo,9
Camille,26
Kennen,3
Yuumi,12
Darius,7
Blitzcrank,8
Xayah,14
Pantheon,7
Hecarim,18
Lillia,0
Irelia,5
Rammus,3
Annie,12
DrMundo,27
Jinx,19
Kassadin,8
Sona,13
Ezreal,13
Twitch,8
Draven,2
Sylas,28
Kayle,29
Pyke,14
Zed,5
Evelynn,5
Jax,4
Rakan,30
Yorick,6
Velkoz,15
Fizz,1
Braum,5
Tryndamere,2
FiddleSticks,9
Thresh,16
Ornn,16
Ekko,17
Riven,17
Ahri,31
Lucian,6
Anivia,11
Shyvana,9
Karma,18
Samira,1
Leblanc,19
Zilean,11
KogMaw,2
Rell,9
Chogath,32
Zac,6
Nidalee,3
Kayn,10
Ziggs,3
Neeko,11
