id,group
MasterYi,8
TahmKench,23
Tristana,19
Velkoz,19
MissFortune,2
Warwick,21
Yone,23
Jhin,3
Zyra,14
Graves,4
Urgot,15
Ashe,9
Fizz,9
Yuumi,9
Ekko,13
Soraka,26
Jinx,18
Nocturne,14
Sett,16
Veigar,13
Sivir,6
Zed,6
Sion,8
Kayle,17
Viego,13
Lux,11
Trundle,31
Brand,24
Poppy,24
Yasuo,1
Xerath,0
Malzahar,15
Garen,22
Shaco,0
Hecarim,6
Nami,7
Teemo,6
Amumu,30
Anivia,11
DrMundo,29
Vex,14
Morgana,15
Vi,18
Chogath,8
Nasus,27
Annie,16
Evelynn,10
Ornn,1
Jax,20
Vladimir,7
Swain,25
Vayne,10
FiddleSticks,4
Ziggs,16
Nunu,2
Camille,4
Xayah,20
Kayn,3
Sona,3
Sejuani,1
Caitlyn,5
Yorick,5
Maokai,2
Lulu,7
XinZhao,7
Khazix,25
Blitzcrank,28
Quinn,2
MonkeyKing,5
Pantheon,8
Samira,21
Leona,17
Twitch,17
Lillia,26
JarvanIV,12
Zac,1
Shen,18
Tryndamere,19
Janna,10
Senna,12
Seraphine,9
Rakan,20
Rammus,11
Akshan,27
Bard,2
Diana,28
Cassiopeia,1
Corki,3
Shyvana,10
Galio,4
Viktor,3
Ezreal,29
Irelia,12
Heimerdinger,11
Kassadin,5
Zilean,1
Pyke,12
Malphite,21
Neeko,4
LeeSin,30
Katarina,31
Karma,22
Volibear,22
Jayce,5
