id,group
Talon,8
Urgot,8
Lux,4
Darius,21
Zyra,10
Kayle,11
Akshan,0
Sett,2
Ziggs,0
Diana,37
Garen,0
Veigar,8
Leona,35
Irelia,34
Shaco,18
Warwick,24
Yone,11
Illaoi,6
Blitzcrank,0
Yorick,36
Ashe,0
Maokai,13
Amumu,16
Malzahar,0
FiddleSticks,14
MissFortune,3
Kled,10
LeeSin,10
Graves,7
Ahri,23
MasterYi,0
Sion,12
Ezreal,12
Leblanc,17
Sivir,21
Lillia,28
Yasuo,5
Anivia,26
Nocturne,27
Alistar,22
Nunu,4
XinZhao,30
Vayne,14
Mordekaiser,22
Xerath,17
JarvanIV,23
Soraka,25
Ekko,6
Sona,11
DrMundo,9
Senna,12
TahmKench,29
Vex,24
Camille,25
Zac,31
Thresh,4
Fiora,20
Viego,26
Jinx,13
Singed,13
Morgana,15
Teemo,27
Renekton,4
Kindred,15
Kayn,28
Pyke,29
Poppy,18
Jhin,9
MonkeyKing,5
Seraphine,14
Akali,1
Volibear,7
Malphite,32
Brand,33
Zed,30
Pantheon,9
Vi,19
Shyvana,2
Vladimir,15
Samira,31
Trundle,32
Nasus,33
Chogath,16
Katarina,1
Swain,34
Khazix,1
Tryndamere,1
Sejuani,3
Yuumi,16
Shen,6
Caitlyn,1
Evelynn,1
Lucian,5
Ornn,5
Jax,17
Riven,35
Tristana,18
Heimerdinger,7
Nautilus,36
Hecarim,19
Kaisa,19
Annie,3
Velkoz,2
Gnar,3
Aatrox,37
Fizz,2
Galio,20
Gangplank,6
Zilean,7
Sylas,8
Rakan,2
Kassadin,9
Aphelios,20
Quinn,3
