id,group
Nasus,8
Sylas,29
Blitzcrank,25
Camille,0
Jinx,11
Khazix,12
Ahri,25
Graves,10
Aphelios,12
Morgana,12
Ekko,6
Malphite,27
Nunu,17
Zed,4
Garen,26
Kayn,26
Taliyah,3
Vayne,0
Shaco,0
Ziggs,6
Amumu,30
MissFortune,1
Leona,34
Vex,15
TahmKench,31
LeeSin,5
Zilean,5
JarvanIV,19
Katarina,7
Zac,2
Pantheon,27
Lux,23
Caitlyn,32
Xerath,8
Nami,15
Maokai,33
Yone,24
Akshan,14
Teemo,28
Jhin,22
Soraka,11
Talon,11
Varus,13
Yasuo,13
Elise,21
Alistar,14
Kaisa,18
Jayce,16
Leblanc,16
Shen,13
Evelynn,4
Nocturne,28
Malzahar,3
Lissandra,10
Poppy,0
Irelia,2
Aatrox,19
Nautilus,4
Samira,4
MasterYi,14
Kindred,15
Lillia,16
Warwick,2
Sett,9
Trundle,9
Senna,9
Pyke,2
Ashe,8
Lulu,17
Ryze,17
Karma,22
Braum,29
Lucian,3
Rell,1
RekSai,3
Diana,2
Sion,23
FiddleSticks,18
Kennen,30
Gnar,1
Zyra,2
Yuumi,31
Viego,6
Vladimir,5
MonkeyKing,5
Thresh,21
Ezreal,20
Heimerdinger,20
Mordekaiser,24
Tristana,7
Anivia,6
Ornn,18
Chogath,1
Volibear,32
Fiora,7
Galio,7
Darius,19
Kled,20
Kassadin,21
Swain,1
Brand,8
Fizz,22
Rengar,3
Viktor,10
Akali,9
XinZhao,4
Twitch,10
Vi,23
Olaf,1
TwistedFate,33
Urgot,1
Qiyana,11
DrMundo,1
Quinn,1
Xayah,24
Zoe,34
