id,group
Diana,6
Teemo,6
Fiora,7
Shaco,7
Lux,5
Nocturne,14
Ekko,2
Shen,7
Annie,4
Khazix,4
Nami,15
Nasus,0
Rammus,1
Amumu,3
MissFortune,19
Vi,6
Zyra,26
Kayle,25
MasterYi,0
Yasuo,13
Yone,10
Graves,21
Brand,11
Jhin,1
Irelia,8
Nunu,8
Leona,8
Trundle,27
Swain,4
Ziggs,10
Quinn,5
Sion,2
Sett,9
Tristana,4
Urgot,11
Warwick,18
Vayne,17
Yorick,16
Ashe,28
Caitlyn,22
Sona,22
Xayah,3
Kindred,13
Blitzcrank,24
Viktor,1
Malzahar,9
Mordekaiser,9
Morgana,16
Malphite,15
Xerath,2
Kayn,23
Lillia,23
DrMundo,1
Tryndamere,10
Zac,17
Soraka,12
Zed,11
Vex,1
Kled,5
Garen,24
Fizz,20
Yuumi,20
Alistar,2
Pyke,3
Twitch,12
Veigar,14
TahmKench,12
Akshan,25
Singed,21
Heimerdinger,13
Sylas,14
Lulu,3
Sivir,18
Riven,15
Chogath,16
Zilean,17
Jax,26
Kaisa,27
Maokai,19
MonkeyKing,2
KogMaw,5
Volibear,18
Hecarim,19
Seraphine,3
Ahri,20
Leblanc,21
Galio,28
Jinx,22
Udyr,6
